title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Computational folkloristics,"J Abello, P Broadwell, TR Tangherlini",2012.0,147,"… Availability of substantial digital folklore corpora ultimately speaks of the need for computational folkloristics. … Consequently, we obtain a final weight between two stories by …",UzNdOGLLTrQJ,"J Abello, P Broadwell, TR Tangherlini - Communications of the ACM, 2012 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/2209249.2209267,unknown,unknown
WitchHunter: Tools for the geo-semantic exploration of a Danish Folklore Corpus,"PM Broadwell, TR Tangherlini",2016.0,18,"… Consequently, it is often difficult for folklore … a large folklore corpus (>30,000 stories). WitchHunter presents visual representations of the latent semantic connections between stories in a …",4hasgU3jqLIJ,"PM Broadwell, TR Tangherlini - … Folklore, 2016 - scholarlypublishingcollective.org",[],https://scholarlypublishingcollective.org/uip/jaf/article-abstract/129/511/14/228573,unknown,unknown
A Conspiracy of Witches,TR Tangherlini,2021.0,2,"… of stories. Such approaches, a key methodology in computational folkloristics, have been accelerated by the confluence of ubiquitous, low-cost high-performance computing and …",WLPMBnhttJ0J,"TR Tangherlini - Myth, Magic, and Memory in Early Scandinavian …, 2021 - brepolsonline.net",[],https://www.brepolsonline.net/content/books/10.1484/M.AS-EB.5.121343?crawler=true&mimetype=application/pdf,unknown,unknown
Ghostscope: Conceptual mapping of supernatural phenomena in a large folklore corpus,"PM Broadwell, TR Tangherlini",2016.0,9,… references from the thousands of other stories about witches that can be found in the collection—a task that can only be done accurately via computational methods—it turns out that she …,vyez4Wx6mjEJ,"PM Broadwell, TR Tangherlini - Maths Meets Myths: Quantitative …, 2016 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-319-39445-9_8,unknown,unknown
Computational Folkloristics A searchable meta-graph can connect even troublesome house elves and other supernatural beings to scholarly folk categories.,"J Abello, P Broadwell, TR Tangherlini",,0,… This exploration of the contours of computational folkloristics and our description of preliminary experiments in multimodal network classification for folklore corpora offer not only the …,vzRUft9a8JIJ,"J Abello, P Broadwell, TR Tangherlini - cacm.acm.org",[],https://cacm.acm.org/research/computational-folkloristics/,unknown,unknown
"Maths Meets Myths: Quantitative Approaches to Ancient Narratives: Ralph Kenna, Máirín MacCarron, and Pádraig MacCarron. Cham, Switzerland: Springer …",D Chartash,2019.0,4,"… For those intent on reading further, I recommend the recent special issue of The Journal of American Folklore on computational folkloristics, edited by Tangherlini (2016). …",cglRIEp2_SMJ,D Chartash - 2019 - Taylor & Francis,[],https://www.tandfonline.com/doi/full/10.1080/0015587X.2018.1554384,unknown,unknown
Big Folklore: A Special issue on computational folkloristics,TR Tangherlini,2016.0,65,"… , we must recognize that computational approaches can help make sense of the often hidden … As we learn to apply computational techniques to folklore, we will ultimately converge on …",2MYx9TaizKkJ,"TR Tangherlini - Journal of American Folklore, 2016 - muse.jhu.edu",[],https://muse.jhu.edu/pub/25/article/613891/summary,unknown,unknown
The tell-tale hat: Surfacing the uncertainty in folklore classification,"…, D Mimno, T Tangherlini",2017.0,14,"… We suggest that computational approaches to the indexing of folklore collections might offer some relief to the artifacts of past practices. Although the ATU, ML and similar indices all …",eMXoPOFCOXIJ,"…, D Mimno, T Tangherlini - Journal of Cultural …, 2017 - culturalanalytics.org",[],https://culturalanalytics.org/article/scholastica_article_id/11069/,unknown,unknown
"Toward a generative model of legend: Pizzas, bridges, vaccines, and witches",TR Tangherlini,2017.0,48,"… The thousands of stories and comments on those stories, which we can collect thanks to the Internet and social media, relied on the existence of this domain for an accepted pool of …",2QMDUxi6ZtsJ,"TR Tangherlini - Humanities, 2017 - mdpi.com",[],https://www.mdpi.com/2076-0787/7/1/1,unknown,unknown
The folklore macroscope: Challenges for a computational folkloristics,TR Tangherlini,2013.0,76,"… the folklore macro scope. I will also highlight additional work that focuses on some of the computational … Along the way, I will explore each of the four challenge areas for computational …",HxFE1nZFXAIJ,"TR Tangherlini - Western Folklore, 2013 - JSTOR",[],https://www.jstor.org/stable/24550905,unknown,unknown
WitchHunter: Tools for the geo-semantic exploration of a Danish Folklore Corpus,"PM Broadwell, TR Tangherlini",2016.0,18,"… Consequently, it is often difficult for folklore … a large folklore corpus (>30,000 stories). WitchHunter presents visual representations of the latent semantic connections between stories in a …",4hasgU3jqLIJ,"PM Broadwell, TR Tangherlini - … Folklore, 2016 - scholarlypublishingcollective.org",[],https://scholarlypublishingcollective.org/uip/jaf/article-abstract/129/511/14/228573,unknown,unknown
A Conspiracy of Witches,TR Tangherlini,2021.0,2,"… of stories. Such approaches, a key methodology in computational folkloristics, have been accelerated by the confluence of ubiquitous, low-cost high-performance computing and …",WLPMBnhttJ0J,"TR Tangherlini - Myth, Magic, and Memory in Early Scandinavian …, 2021 - brepolsonline.net",[],https://www.brepolsonline.net/content/books/10.1484/M.AS-EB.5.121343?crawler=true&mimetype=application/pdf,unknown,unknown
Ghostscope: Conceptual mapping of supernatural phenomena in a large folklore corpus,"PM Broadwell, TR Tangherlini",2016.0,9,… references from the thousands of other stories about witches that can be found in the collection—a task that can only be done accurately via computational methods—it turns out that she …,vyez4Wx6mjEJ,"PM Broadwell, TR Tangherlini - Maths Meets Myths: Quantitative …, 2016 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-319-39445-9_8,unknown,unknown
Computational Folkloristics A searchable meta-graph can connect even troublesome house elves and other supernatural beings to scholarly folk categories.,"J Abello, P Broadwell, TR Tangherlini",,0,… This exploration of the contours of computational folkloristics and our description of preliminary experiments in multimodal network classification for folklore corpora offer not only the …,vzRUft9a8JIJ,"J Abello, P Broadwell, TR Tangherlini - cacm.acm.org",[],https://cacm.acm.org/research/computational-folkloristics/,unknown,unknown
"Maths Meets Myths: Quantitative Approaches to Ancient Narratives: Ralph Kenna, Máirín MacCarron, and Pádraig MacCarron. Cham, Switzerland: Springer …",D Chartash,2019.0,4,"… For those intent on reading further, I recommend the recent special issue of The Journal of American Folklore on computational folkloristics, edited by Tangherlini (2016). …",cglRIEp2_SMJ,D Chartash - 2019 - Taylor & Francis,[],https://www.tandfonline.com/doi/full/10.1080/0015587X.2018.1554384,unknown,unknown
Big Folklore: A Special issue on computational folkloristics,TR Tangherlini,2016.0,65,"… , we must recognize that computational approaches can help make sense of the often hidden … As we learn to apply computational techniques to folklore, we will ultimately converge on …",2MYx9TaizKkJ,"TR Tangherlini - Journal of American Folklore, 2016 - muse.jhu.edu",[],https://muse.jhu.edu/pub/25/article/613891/summary,unknown,unknown
The tell-tale hat: Surfacing the uncertainty in folklore classification,"…, D Mimno, T Tangherlini",2017.0,14,"… We suggest that computational approaches to the indexing of folklore collections might offer some relief to the artifacts of past practices. Although the ATU, ML and similar indices all …",eMXoPOFCOXIJ,"…, D Mimno, T Tangherlini - Journal of Cultural …, 2017 - culturalanalytics.org",[],https://culturalanalytics.org/article/scholastica_article_id/11069/,unknown,unknown
"Toward a generative model of legend: Pizzas, bridges, vaccines, and witches",TR Tangherlini,2017.0,48,"… The thousands of stories and comments on those stories, which we can collect thanks to the Internet and social media, relied on the existence of this domain for an accepted pool of …",2QMDUxi6ZtsJ,"TR Tangherlini - Humanities, 2017 - mdpi.com",[],https://www.mdpi.com/2076-0787/7/1/1,unknown,unknown
The folklore macroscope: Challenges for a computational folkloristics,TR Tangherlini,2013.0,76,"… the folklore macro scope. I will also highlight additional work that focuses on some of the computational … Along the way, I will explore each of the four challenge areas for computational …",HxFE1nZFXAIJ,"TR Tangherlini - Western Folklore, 2013 - JSTOR",[],https://www.jstor.org/stable/24550905,unknown,unknown
"The theoretical, methodological and technical issues of digital folklore databases and computational folkloristics",E Ilyefalvi,2018.0,34,"… folklore texts, and finally I summarize the theoretical principles of databases and computational … Tangherlini outlined the tasks and challenges of a new research paradigm he named “…",qcjbBYl_VKAJ,"E Ilyefalvi - Acta Ethnographica Hungarica, 2018 - akjournals.com",[],https://www.akjournals.com/view/journals/022/63/1/article-p209.xml,unknown,unknown
