title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Algorithmic Alchemy: The Power of the Witch on YouTube,"H Zhang, Y Belinskaya, DA Rodgers…",2025,0,"… discourses within the fields of folklore studies and digital … this age of big folklore, we must recognize that computational … that magical belief is strong in Thailand, with tales of magical …",FFtMUGDm_EgJ,"H Zhang, Y Belinskaya, DA Rodgers… - Folklore, 2025 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.1080/0015587X.2025.2539571,unknown,unknown
"Textualization Strategies, Typological Attempts, Digital Databases: What is the Future of Comparative Charm Scholarship?",E Ilyefalvi,2017,5,"… computational folkloristics as a new branch of research contribute to understanding the phenomenon of verbal magic?… From the perspective of discourse analysis and cognitive theory, …",HRm-D6EXrJ4J,E Ilyefalvi - 2017 - edit.elte.hu,[],https://edit.elte.hu/xmlui/bitstream/handle/10831/35858/Incantatio2017_6_Ilyefalvi.pdf,unknown,unknown
Integration of linguistic markup into semantic models of folk narratives: The fairy tale use case,"P Lendvai, T Declerck, S Darányi…",2010,28,"… computational semantic analysis and procedural generation of … research across Digital Humanities, Computational Linguistics… ’ev collection: 29 so-called ‘magic’ tales, to which we here …",FFGIY-c2LpYJ,"P Lendvai, T Declerck, S Darányi… - LREC …, 2010 - pmc.ncbi.nlm.nih.gov",[],https://pmc.ncbi.nlm.nih.gov/articles/PMC10659064/,unknown,unknown
"Folklore's cybernetic imaginary, or, unpacking the obvious",JD Dorst,2016,18,… and contemplate more critically the digital/ computational turn in folklore studies today. … of occluded “magical” production in the imaginary that “feels like home” to the folklorist. it is what …,jyeN_fGYPZUJ,"JD Dorst - Journal of American Folklore, 2016 - scholarlypublishingcollective.org",[],https://scholarlypublishingcollective.org/uip/jaf/article-abstract/129/512/127/227354,unknown,unknown
The Sociocultural Underpinnings of Linguocreativity: Digital Community Discourse Strategies,OM Akay,2025,0,"… combines corpus analysis, critical discourse analysis, and … –from visually designed “magic spells” to rhythmically organized “… Visual-textual syncretism–unlike oral folklore forms, digital …",uNtif8eX7vgJ,"OM Akay - Herald of the Russian Academy of Sciences, 2025 - Springer",[],https://link.springer.com/article/10.1134/S101933162560218X,unknown,unknown
'Folk'in the age of algorithms: theorizing folklore on social media platforms,G Flinterud,2023,42,… into the connections between algorithms and folklore processes that computational folklore studies rest on have had little visible impact on research on digital folklore that employs the …,XFX4KW5OsskJ,"G Flinterud - Folklore, 2023 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.1080/0015587X.2023.2233839,unknown,unknown
"The theoretical, methodological and technical issues of digital folklore databases and computational folkloristics",E Ilyefalvi,2018,34,"… archives and collections in the wider context of folklore archiving and digital humanities… digital databases containing folklore texts (WossiDiA, Sagragrunnur, ETKSpace, Danish Folklore …",qcjbBYl_VKAJ,"E Ilyefalvi - Acta Ethnographica Hungarica, 2018 - akjournals.com",[],https://www.akjournals.com/view/journals/022/63/1/article-p209.xml,unknown,unknown
Computational analysis of the body in European fairy tales,"S Weingart, J Jorgensen",2013,45,… This article explores how digital … computational approaches to canonical fairy tales while utilizing tried and tested theoretical frameworks and critical analyses from feminist and folklore …,OJaUC0IIVawJ,"S Weingart, J Jorgensen - Literary and Linguistic Computing, 2013 - academic.oup.com",[],https://academic.oup.com/dsh/article-abstract/28/3/404/946904,unknown,unknown
Believing in bits: Digital media and the supernatural,"S Natale, D Pasulka",2019,48,… “Digital media” is defined as media employing computing technologies that … of computing technologies. This contributes to provide digital technologies with an aura of quasi- magical …,j3-pZvlBUzYJ,"S Natale, D Pasulka - 2019 - books.google.com",[],https://books.google.com/books?hl=en&lr=&id=FvarDwAAQBAJ&oi=fnd&pg=PP1&dq=digital+folklore+magical+discourse+analysis+computational&ots=wTdLNi59Tb&sig=OJ55QYf9VP1gWTtd3_rxSoohbb4,unknown,unknown
Digitizing and virtualizing folklore,SJ Bronner,2009,162,"… The folklore he reported, as early as 1958, was about computing as a suspect … folklore that evoked wisdom of yore being handed down by a golden ager may lead us to think that digital …",fQduf-H_2O8J,"SJ Bronner - Folklore and the internet: Vernacular expression in a …, 2009 - JSTOR",[],https://www.jstor.org/content/pdf/oa_chapter_edited/j.ctt4cgrx5.5,unknown,unknown
Quantifying verbal semantics: a computer-based discourse analysis of verba sentiendi vs. verba dicendi in Angela Carter's fiction.,I Bekhta,2024,4,"… blend of linguistic analysis and computational exploration, … the magical realist aspects within thought and speech … Symbolism and metaphor: magical elements in these stories …",uZAUsK5ByEYJ,"I Bekhta - COLINS (4), 2024 - ceur-ws.org",[],https://ceur-ws.org/Vol-3722/paper22.pdf,unknown,unknown
Fairy tales and video games: Folk culture in the digital age. A literature review,RT Angelaki,2024,8,"… Today, as the field of Folklore Studies expands and … predictable lines, with magically gifted characters attaining … Nonetheless, the fact that game theorists and computational …",XmlY44CNKf0J,"RT Angelaki - Journal of Literary Education, 2024 - turia.uv.es",[],https://turia.uv.es/index.php/JLE/article/view/29391,unknown,unknown
Folklore in the Digital Age: Collected Essays. Foreword by Andy Ross,V Krawczyk-Wasilewska,2016,30,"… , together with applications in cloud computing. The modern trend is the … digital Magic department that comprises three types of sources: grimoires, witchcraft trial records, and magic …",71NI-iq6fNQJ,V Krawczyk-Wasilewska - 2016 - dspace.uni.lodz.pl,[],https://dspace.uni.lodz.pl/bitstream/handle/11089/22731/Krawczyk-Wasilewska_Folklore.pdf?sequence=6&isAllowed=y,unknown,unknown
"When Algorithms Read Folklore: AI, Simulated Reception, and Cross-Cultural Studies of Literary Interpretation","AI Soraya, R Ramadhani…",2026,0,"… theory, folklore studies, and digital humanities by … analysis. In the humanities, this development has encouraged scholars to rethink the boundaries between computational analysis and …",4XzPiTK8d10J,"AI Soraya, R Ramadhani… - Utamax: Journal of …, 2026 - journal.unilak.ac.id",[],http://journal.unilak.ac.id/index.php/UTAMAX/article/view/31782,unknown,unknown
