title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Big Folklore: A Special issue on computational folkloristics,TR Tangherlini,2016.0,65,"… When we say that “story A is similar to story b,” what do we mean by “similar”? Since com… network analysis that, in turn, can support analysis of latent patterns in the data. indeed, many …",2MYx9TaizKkJ,"TR Tangherlini - Journal of American Folklore, 2016 - muse.jhu.edu",[],https://muse.jhu.edu/pub/25/article/613891/summary,unknown,unknown
Retelling stories. A computational-evolutionary perspective,FB Karsdorp,2016.0,17,"… folklorists’ research endeavors by delivering two research instruments which allow researches to analyze … Carefully studying the structure and evolution of the two story networks, I show …",7jMk3B2m7kMJ,FB Karsdorp - 2016 - repository.ubn.ru.nl,[],https://repository.ubn.ru.nl/bitstream/handle/2066/162268/162268.pdf,unknown,unknown
Disentangling the folklore hairball: A network approach to the characterization of a large folktale corpus,"J Abello, PM Broadwell, TR Tangherlini, H Zhang",2023.0,6,"… of vertices that are either a Story Id (ETK), a Story Topic (ATU), a Story Motif (TMI), a Place, … -point vertex set from which we can compute a propagated weight that captures a measure of …",3b2cFmhB10gJ,"J Abello, PM Broadwell, TR Tangherlini, H Zhang - Fabula, 2023 - degruyterbrill.com",[],https://www.degruyterbrill.com/document/doi/10.1515/fabula-2023-0004/html,unknown,unknown
"Maths Meets Myths: Quantitative Approaches to Ancient Narratives: Ralph Kenna, Máirín MacCarron, and Pádraig MacCarron. Cham, Switzerland: Springer …",D Chartash,2019.0,4,"… For the folklore scholar interested in the digital humanities, … that can enhance folkloristic understanding of culture at scale. … of American Folklore on computational folkloristics, edited by …",cglRIEp2_SMJ,D Chartash - 2019 - Taylor & Francis,[],https://www.tandfonline.com/doi/full/10.1080/0015587X.2018.1554384,unknown,unknown
Computational folkloristics,"J Abello, P Broadwell, TR Tangherlini",2012.0,147,"… a network model of the corpus opens up the applicability of multi-resolution network analysis… will include coding of narrative structure into the attribute set of a given story, as it should …",UzNdOGLLTrQJ,"J Abello, P Broadwell, TR Tangherlini - Communications of the ACM, 2012 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/2209249.2209267,unknown,unknown
"The theoretical, methodological and technical issues of digital folklore databases and computational folkloristics",E Ilyefalvi,2018.0,34,"… creation of folklore databases (… analysis of digitized folklore texts (text-mining, network theory methods, data visualization), and finally places databases and computational folkloristics …",qcjbBYl_VKAJ,"E Ilyefalvi - Acta Ethnographica Hungarica, 2018 - akjournals.com",[],https://www.akjournals.com/view/journals/022/63/1/article-p209.xml,unknown,unknown
Computational Folkloristics A searchable meta-graph can connect even troublesome house elves and other supernatural beings to scholarly folk categories.,"J Abello, P Broadwell, TR Tangherlini",,0,… model of the corpus opens up the applicability of multi-resolution network analysis. The … of the story corpus. This exploration of the contours of computational folkloristics and our …,vzRUft9a8JIJ,"J Abello, P Broadwell, TR Tangherlini - cacm.acm.org",[],https://cacm.acm.org/research/computational-folkloristics/,unknown,unknown
Discovering structural similarities in narrative texts using event alignment algorithms,N Reiter,2014.0,19,"… We will focus on folkloristics and research of rituals as application scenarios. Folkloristics … In this section, we describe the related work in the area of computational narrative analysis. …",GTJPMZ0w7TIJ,N Reiter - 2014 - archiv.ub.uni-heidelberg.de,[],https://archiv.ub.uni-heidelberg.de/volltextserver/17042/,unknown,unknown
The folklore macroscope: Challenges for a computational folkloristics,TR Tangherlini,2013.0,76,"… For each story, we developed a vector representa tion of the story based on a series of ""… Recent applications network analysis include work that showed an unusual conce of Tweets …",HxFE1nZFXAIJ,"TR Tangherlini - Western Folklore, 2013 - JSTOR",[],https://www.jstor.org/stable/24550905,unknown,unknown
Quantifying external information in social network analysis: An application to comparative mythology,"J Fumanal-Idocin, O Cordon, GP Dimuro…",2023.0,6,"… We also computed other common centrality measures in social network analysis [5] for comparison purposes. In order to compute the semantic value as a numerical value, we …",7wKPg9cY8j8J,"J Fumanal-Idocin, O Cordon, GP Dimuro… - IEEE Transactions …, 2023 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10041950/,unknown,unknown
