title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Cultural networks,P DiMaggio,2011,207,"… chapter reviews network studies in these three areas seriatim. I define “network analysis"" … relationality matrices suitable for conventional network methods but that produce results with …",95CB0Y9aL9UJ,"P DiMaggio - The Sage handbook of social network analysis, 2011 - books.google.com",[],https://books.google.com/books?hl=en&lr=&id=mWlsKkIuFNgC&oi=fnd&pg=PA286&dq=network+analysis+knowledge+communities+subculture&ots=tSgF4SgXZo&sig=BXqtwmhF8j01oRlmxTlpnJ3uNp4,unknown,unknown
Rethinking subculture: An interactionist analysis,"GA Fine, S Kleinman",1979,795,"… "" between a subsociety as defined purely structurally and those who adopt the values and behavior of a subculture, we need to distinguish between subculture and subsociety. …",cQjsm2ceLKcJ,"GA Fine, S Kleinman - American journal of sociology, 1979 - journals.uchicago.edu",[],https://www.journals.uchicago.edu/doi/abs/10.1086/226971,unknown,unknown
Exploring invisible scientific communities: Studying networking relations within an educational research community. A Finnish case,"P Tuire, L Erno",2001,166,… We conclude that social network analysis opens up a new … are divided into rather separate subcultures. A strict distinction … The social network analysis (SNA) appears to provide a …,XZfk3AtUtEAJ,"P Tuire, L Erno - Higher education, 2001 - Springer",[],https://link.springer.com/article/10.1023/A:1012242009758,unknown,unknown
Cultivating network analysis: Rethinking the concept of 'community'within 'communities of practice',N Jewson,2007,163,"… networks function and are experienced but network analysis is also conducive to quantitative analysis, … Clusters may support subcultures that express variant forms of dominant norms …",o1nX0PXTWSkJ,"N Jewson - Communities of practice: Critical perspectives, 2007 - api.taylorfrancis.com",[],https://api.taylorfrancis.com/content/chapters/edit/download?identifierName=doi&identifierValue=10.4324/NOE0415364737-6&type=chapterpdf,unknown,unknown
Online urbanism: Interest-based subcultures as drivers of informal learning in an online community,"BU Gelman, C Beckley, A Johri, C Domeniconi…",2016,22,"… communities can mirror offline communities. In keeping with the view of the subcultural theory of urbanism [9], we provide an ecological understanding of an online community and …",jAUvC7qQ1u0J,"BU Gelman, C Beckley, A Johri, C Domeniconi… - Proceedings of the third …, 2016 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/2876034.2876052,unknown,unknown
The “knowledge landscape” of subculture studies: A review based on CiteSpace analysis (1998-2023),"X Zhang, G Fang, G Zhang, MX Cui",2025,3,… analysis of the subculture-related literature. This paper aims to comprehensively analyze subculture … integrating social network analysis and complex network analysis to explore the …,5wacyesJXFIJ,"X Zhang, G Fang, G Zhang, MX Cui - Journal of Global Information …, 2025 - igi-global.com",[],https://www.igi-global.com/article/the-knowledge-landscape-of-subculture-studies/372902,unknown,unknown
Epistemic clashes in network science: Mapping the tensions between idiographic and nomothetic subcultures,M Jacomy,2020,33,"… Like Galison (1999), I observe epistemic subcultures with different approaches to knowledge. Theorists elaborate models and predictions. Experimentalists stabilize the procedures …",Ypp_84MJwmMJ,"M Jacomy - Big Data & Society, 2020 - journals.sagepub.com",[],https://journals.sagepub.com/doi/abs/10.1177/2053951720949577,unknown,unknown
"Under-connected: Youth subcultures, resistance and sociability in the internet age",P Guerra,2020,43,"… concept in post-subcultural theory because it allows a departure from the deterministic perspective in which subcultures existed rigidly and followed class, community and ethnic lines. …",_n0TzHeHRBYJ,"P Guerra - … in the twenty-first century: Through the subcultural lens, 2020 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-030-28475-6_10,unknown,unknown
Transferring subcultural knowledge on-line: Practices and beliefs of persistent digital pirates,"TJ Holt, H Copes",2010,180,"… Criminal subcultures form around deviant behaviors as a … interactions in spreading subcultural knowledge by interviewing 34 … of a piracy subculture, however. These findings show that …",H4mJiGMGE2kJ,"TJ Holt, H Copes - Deviant Behavior, 2010 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.1080/01639620903231548,unknown,unknown
"DIY activists: Communities of practice, cultural dialogism, and radical knowledge sharing","D Hemphill, S Leskowitz",2013,121,"… The current DIY subculture in many ways resembles countercultural movements of the past—the Beats of the 1940s, Hippies of the 1960s, and Punks of the 1980s—all of whom …",mhl44CFlpXUJ,"D Hemphill, S Leskowitz - Adult Education Quarterly, 2013 - journals.sagepub.com",[],https://journals.sagepub.com/doi/abs/10.1177/0741713612442803,unknown,unknown
Research on the Formation and Operating Mechanism of College Students' Network Circle Group Subculture: Based on the Perspective of Big Data Management,H Zhi,2024,0,"… of knowledge … of network subculture [8]. Under the background of big data management, this paper explores the formation and operating mechanism of network circle group subculture, …",g1BWeE143D4J,"H Zhi - 2024 5th International Conference on Big Data and …, 2024 - atlantis-press.com",[],https://www.atlantis-press.com/proceedings/icbdss-24/126004810,unknown,unknown
Practices of information and secrecy in a punk rock subculture,"J Lingel, A Trammell, J Sanchez…",2012,31,"… By examining the information practices of a punk-rock subculture, we investigate the limits of social media systems, particularly limits exposed by practices of secrecy. Looking at the …",tWNmrz7NBdMJ,"J Lingel, A Trammell, J Sanchez… - Proceedings of the ACM …, 2012 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/2145204.2145230,unknown,unknown
"Subculture and Community: Intergenerativity, Social Capital, and Community Resilience in the Society for Creative Anachronism",LK Villa,2023,2,… subculture (which I will discuss in more detail below) and its subcultural values related to … characteristics in common with youth subcultures in the late 1960s. The original SCA …,cJIPl4hR36IJ,LK Villa - 2023 - search.proquest.com,[],https://search.proquest.com/openview/01a765444c38ff3d88a3c2ea9a56fd9a/1?pq-origsite=gscholar&cbl=18750&diss=y,unknown,unknown
Culture and subcultures: An analysis of organizational knowledge,SA Sackmann,1992,1545,"… potential existence and formation of subcultures in organizations, using an inductive research methodology to study the extent to which four different types of knowledge were shared by …",FyF9LzzCcpMJ,"SA Sackmann - Administrative science quarterly, 1992 - JSTOR",[],https://www.jstor.org/stable/2393536,unknown,unknown
